date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
8/5/2015,Wednesday,4.132,2.798,2.287,511.0
8/6/2015,Thursday,3.791,2.693,2.204,489.0
8/7/2015,Friday,2.968,2.139,1.738,401.0
8/8/2015,Saturday,1.752,1.266,1.021,245.0
8/9/2015,Sunday,2.07,1.497,1.231,266.0
8/10/2015,Monday,3.92,2.684,2.139,545.0
8/11/2015,Tuesday,4.106,2.791,2.266,525.0
8/12/2015,Wednesday,4.006,2.726,2.166,560.0
8/13/2015,Thursday,3.827,2.639,2.133,506.0
8/14/2015,Friday,2.944,1.973,1.564,409.0
8/15/2015,Saturday,1.827,1.193,954.0,239.0
8/16/2015,Sunday,2.373,1.658,1.369,289.0
8/17/2015,Monday,4.031,2.763,2.29,473.0
8/18/2015,Tuesday,4.027,2.78,2.248,532.0
8/19/2015,Wednesday,3.912,2.795,2.291,504.0
8/20/2015,Thursday,3.867,2.715,2.191,524.0
8/21/2015,Friday,3.304,2.238,1.806,432.0
8/22/2015,Saturday,1.685,1.208,1.011,197.0
8/23/2015,Sunday,2.13,1.542,1.282,260.0
8/24/2015,Monday,3.936,2.697,2.182,515.0
8/25/2015,Tuesday,4.029,2.744,2.203,541.0
8/26/2015,Wednesday,4.01,2.789,2.237,552.0
8/27/2015,Thursday,4.027,2.89,2.392,498.0
8/28/2015,Friday,2.829,2.0,1.585,415.0
8/29/2015,Saturday,1.736,1.227,1.023,204.0
8/30/2015,Sunday,2.517,1.686,1.416,270.0
8/31/2015,Monday,4.029,2.769,2.299,470.0
9/1/2015,Tuesday,4.261,2.89,2.358,532.0
9/2/2015,Wednesday,4.058,2.923,2.442,481.0
9/3/2015,Thursday,4.392,3.007,2.466,541.0
9/4/2015,Friday,3.072,2.221,1.846,375.0
9/5/2015,Saturday,1.799,1.284,1.068,216.0
9/6/2015,Sunday,2.341,1.611,1.345,266.0
9/7/2015,Monday,3.33,2.354,1.963,391.0
9/8/2015,Tuesday,4.734,3.381,2.833,548.0
9/9/2015,Wednesday,4.801,3.381,2.845,536.0
9/10/2015,Thursday,4.399,3.079,2.575,504.0
9/11/2015,Friday,3.275,2.375,1.958,417.0
9/12/2015,Saturday,2.042,1.429,1.223,206.0
9/13/2015,Sunday,2.827,2.103,1.844,259.0
9/14/2015,Monday,4.836,3.437,2.954,483.0
9/15/2015,Tuesday,4.84,3.465,2.944,521.0
9/16/2015,Wednesday,4.504,3.356,2.902,454.0
9/17/2015,Thursday,4.379,3.24,2.736,504.0
9/18/2015,Friday,3.391,2.428,2.024,404.0
9/19/2015,Saturday,2.045,1.513,1.278,235.0
9/20/2015,Sunday,2.721,2.081,1.817,264.0
9/21/2015,Monday,4.63,3.535,2.998,537.0
9/22/2015,Tuesday,4.748,3.54,3.004,536.0
9/23/2015,Wednesday,4.702,3.377,2.893,484.0
9/24/2015,Thursday,4.44,3.309,2.827,482.0
9/25/2015,Friday,3.513,2.518,2.116,402.0
9/26/2015,Saturday,2.253,1.633,1.395,238.0
9/27/2015,Sunday,3.141,2.291,1.98,311.0
9/28/2015,Monday,5.122,3.808,3.289,519.0
9/29/2015,Tuesday,5.151,3.868,3.305,563.0
9/30/2015,Wednesday,4.969,3.703,3.182,521.0
10/1/2015,Thursday,4.619,3.365,2.876,489.0
10/2/2015,Friday,3.443,2.598,2.196,402.0
10/3/2015,Saturday,2.302,1.754,1.503,251.0
10/4/2015,Sunday,3.291,2.506,2.173,333.0
10/5/2015,Monday,5.206,3.737,3.17,567.0
10/6/2015,Tuesday,5.474,3.94,3.337,603.0
10/7/2015,Wednesday,5.4,3.934,3.35,584.0
10/8/2015,Thursday,5.334,3.821,3.244,577.0
10/9/2015,Friday,4.174,3.022,2.547,475.0
10/10/2015,Saturday,2.571,1.853,1.597,256.0
10/11/2015,Sunday,3.572,2.636,2.283,353.0
10/12/2015,Monday,5.018,3.788,3.241,547.0
10/13/2015,Tuesday,5.565,4.159,3.536,623.0
10/14/2015,Wednesday,5.42,4.048,3.403,645.0
10/15/2015,Thursday,5.366,3.908,3.331,577.0
10/16/2015,Friday,4.091,3.002,2.507,495.0
10/17/2015,Saturday,2.824,2.087,1.77,317.0
10/18/2015,Sunday,3.843,2.825,2.441,384.0
10/19/2015,Monday,5.516,4.14,3.491,649.0
10/20/2015,Tuesday,5.572,4.121,3.46,661.0
10/21/2015,Wednesday,5.243,3.882,3.298,584.0
10/22/2015,Thursday,5.133,3.72,3.104,616.0
10/23/2015,Friday,4.084,2.947,2.441,506.0
10/24/2015,Saturday,2.739,1.978,1.647,331.0
10/25/2015,Sunday,3.781,2.857,2.435,422.0
10/26/2015,Monday,5.684,4.073,3.417,656.0
10/27/2015,Tuesday,5.687,4.179,3.534,645.0
10/28/2015,Wednesday,5.906,4.266,3.614,652.0
10/29/2015,Thursday,5.541,4.02,3.368,652.0
10/30/2015,Friday,4.171,3.043,2.501,542.0
10/31/2015,Saturday,2.586,1.82,1.496,324.0
11/1/2015,Sunday,3.838,2.922,2.456,466.0
11/2/2015,Monday,5.675,4.076,3.419,657.0
11/3/2015,Tuesday,5.624,4.178,3.504,674.0
11/4/2015,Wednesday,5.794,4.316,3.67,646.0
11/5/2015,Thursday,5.389,4.031,3.379,652.0
11/6/2015,Friday,4.305,3.047,2.522,525.0
11/7/2015,Saturday,3.281,2.202,1.854,348.0
11/8/2015,Sunday,3.79,2.837,2.418,419.0
11/9/2015,Monday,5.894,4.203,3.487,716.0
11/10/2015,Tuesday,5.461,4.048,3.388,660.0
11/11/2015,Wednesday,5.206,3.869,3.219,650.0
11/12/2015,Thursday,5.228,3.929,3.281,648.0
11/13/2015,Friday,4.097,2.971,2.436,535.0
11/14/2015,Saturday,2.694,1.964,1.616,348.0
11/15/2015,Sunday,3.893,2.93,2.483,447.0
11/16/2015,Monday,6.185,4.55,3.872,678.0
11/17/2015,Tuesday,6.178,4.503,3.795,708.0
11/18/2015,Wednesday,6.067,4.397,3.693,704.0
11/19/2015,Thursday,5.656,4.166,3.487,679.0
11/20/2015,Friday,4.398,3.173,2.645,528.0
11/21/2015,Saturday,2.836,2.086,1.741,345.0
11/22/2015,Sunday,3.896,2.927,2.424,503.0
11/23/2015,Monday,5.814,4.236,3.543,693.0
11/24/2015,Tuesday,5.879,4.14,3.475,665.0
11/25/2015,Wednesday,4.8,3.457,2.836,621.0
11/26/2015,Thursday,3.838,2.825,2.334,491.0
11/27/2015,Friday,3.576,2.579,2.118,461.0
11/28/2015,Saturday,2.799,1.974,1.652,322.0
11/29/2015,Sunday,4.228,3.127,2.605,522.0
11/30/2015,Monday,6.331,4.57,3.817,753.0
12/1/2015,Tuesday,6.38,4.743,4.027,716.0
12/2/2015,Wednesday,6.314,4.829,4.039,790.0
12/3/2015,Thursday,6.16,4.584,3.835,749.0
12/4/2015,Friday,4.859,3.615,2.995,620.0
12/5/2015,Saturday,3.317,2.468,2.04,428.0
12/6/2015,Sunday,4.715,3.55,2.972,578.0
12/7/2015,Monday,6.94,5.136,4.303,833.0
12/8/2015,Tuesday,6.551,4.866,4.068,798.0
12/9/2015,Wednesday,6.327,4.761,3.961,800.0
12/10/2015,Thursday,6.212,4.578,3.83,748.0
12/11/2015,Friday,4.687,3.388,2.771,617.0
12/12/2015,Saturday,3.014,2.283,1.856,427.0
12/13/2015,Sunday,4.132,3.064,2.548,516.0
12/14/2015,Monday,5.989,4.33,3.606,724.0
12/15/2015,Tuesday,5.331,3.967,3.309,658.0
12/16/2015,Wednesday,5.183,3.665,3.025,640.0
12/17/2015,Thursday,4.769,3.515,2.917,598.0
12/18/2015,Friday,3.627,2.518,2.071,447.0
12/19/2015,Saturday,1.857,1.319,1.087,232.0
12/20/2015,Sunday,2.221,1.489,1.204,285.0
